Date;Time;Timestamp;PM2_5(ug/m3);AQI(US);AQI(CN);PM10(ug/m3);Outdoor AQI(US);Outdoor AQI(CN);Temperature(C);Temperature(F);Humidity(%RH);CO2(ppm);VOC(ppb)
2018/07/01;00:10:31;1530403831;4.0;17;6;4.0;0;0;26.0;78.8;81;408;-1
2018/07/01;00:25:41;1530404741;4.0;17;6;4.0;0;0;26.4;79.5;80;412;-1
2018/07/01;00:40:51;1530405651;5.0;21;7;5.0;0;0;26.8;80.2;80;415;-1
2018/07/01;00:56:01;1530406561;3.0;13;4;3.0;0;0;27.0;80.6;79;416;-1
2018/07/01;01:11:11;1530407471;4.0;17;6;4.0;0;0;27.4;81.3;78;421;-1
2018/07/01;01:26:21;1530408381;3.0;13;4;3.0;0;0;26.9;80.5;77;418;-1
2018/07/01;01:41:31;1530409291;3.0;13;4;3.0;0;0;26.6;79.9;77;413;-1
2018/07/01;01:56:41;1530410201;3.0;13;4;3.0;0;0;26.3;79.4;78;412;-1
2018/07/01;02:11:51;1530411111;2.0;8;3;2.0;0;0;26.4;79.5;77;415;-1
2018/07/01;02:27:01;1530412021;3.0;13;4;3.0;0;0;26.3;79.3;79;414;-1
2018/07/01;02:42:11;1530412931;3.0;13;4;3.0;0;0;26.6;79.8;79;421;-1
2018/07/01;02:57:21;1530413841;3.0;13;4;3.0;0;0;26.5;79.6;79;425;-1
2018/07/01;03:12:31;1530414751;4.0;17;6;4.0;0;0;27.1;80.7;79;432;-1
2018/07/01;03:27:41;1530415661;4.0;17;6;4.0;0;0;27.3;81.2;78;434;-1
2018/07/01;03:42:51;1530416571;3.0;13;4;3.0;0;0;26.9;80.4;78;425;-1
2018/07/01;03:58:01;1530417481;4.0;17;6;4.0;0;0;26.5;79.6;78;418;-1
2018/07/01;04:13:11;1530418391;3.0;13;4;3.0;0;0;25.8;78.4;80;417;-1
2018/07/01;04:28:21;1530419301;3.0;13;4;3.0;0;0;26.0;78.8;80;417;-1
2018/07/01;04:43:31;1530420211;3.0;13;4;3.0;0;0;25.9;78.6;79;416;-1
2018/07/01;04:58:41;1530421121;3.0;13;4;3.0;0;0;26.3;79.3;77;428;-1
2018/07/01;05:13:49;1530422029;4.0;17;6;4.0;0;0;26.6;79.9;77;437;-1
2018/07/01;05:28:59;1530422939;2.0;8;3;2.0;0;0;26.4;79.5;78;427;-1
2018/07/01;05:44:09;1530423849;5.0;21;7;6.0;0;0;26.4;79.5;80;460;-1
2018/07/01;05:59:19;1530424759;6.0;25;9;7.0;0;0;26.1;79.0;84;494;-1
2018/07/01;06:14:29;1530425669;6.0;25;9;7.0;0;0;26.1;79.0;83;483;-1
2018/07/01;06:29:39;1530426579;5.0;21;7;5.0;0;0;26.3;79.3;83;472;-1
2018/07/01;06:44:49;1530427489;7.0;29;10;7.0;0;0;25.7;78.3;83;476;-1
2018/07/01;06:59:59;1530428399;7.0;29;10;7.0;0;0;25.4;77.8;85;475;-1
2018/07/01;07:15:09;1530429309;6.0;25;9;6.0;0;0;25.4;77.7;85;464;-1
2018/07/01;07:30:19;1530430219;5.0;21;7;5.0;0;0;25.5;78.0;85;442;-1
2018/07/01;07:45:29;1530431129;5.0;21;7;5.0;0;0;25.7;78.3;82;435;-1
2018/07/01;08:00:39;1530432039;5.0;21;7;5.0;0;0;25.8;78.4;82;441;-1
2018/07/01;08:15:49;1530432949;4.0;17;6;4.0;0;0;25.8;78.4;80;424;-1
2018/07/01;08:30:59;1530433859;5.0;21;7;5.0;0;0;25.4;77.8;81;420;-1
2018/07/01;08:46:09;1530434769;5.0;21;7;5.0;0;0;25.4;77.7;82;421;-1
2018/07/01;09:01:19;1530435679;7.0;29;10;7.0;0;0;26.0;78.8;81;434;-1
2018/07/01;09:16:29;1530436589;6.0;25;9;6.0;9;10;27.0;80.6;77;444;-1
2018/07/01;09:31:39;1530437499;5.0;21;7;5.0;9;10;27.9;82.3;74;440;-1
2018/07/01;09:46:49;1530438409;8.0;33;11;8.0;9;10;28.6;83.4;74;436;-1
2018/07/01;10:01:59;1530439319;6.0;25;9;6.0;0;0;28.0;82.4;75;425;-1
