Date;Time;Timestamp;PM2_5(ug/m3);AQI(US);AQI(CN);PM10(ug/m3);Outdoor AQI(US);Outdoor AQI(CN);Temperature(C);Temperature(F);Humidity(%RH);CO2(ppm);VOC(ppb)
2017/06/01;00:12:00;1496275920;12.0;50;17;12.0;0;0;24.4;75.9;95;432;-1
2017/06/01;00:27:10;1496276830;9.0;38;13;9.0;0;0;23.9;75.1;95;457;-1
2017/06/01;00:42:20;1496277740;12.0;50;17;12.0;0;0;24.2;75.5;96;436;-1
2017/06/01;00:57:30;1496278650;13.0;53;19;13.0;72;45;24.3;75.8;96;449;-1
2017/06/01;01:12:40;1496279560;15.0;57;21;15.0;0;0;24.0;75.2;97;437;-1
2017/06/01;01:27:50;1496280470;15.0;57;21;17.0;0;0;23.9;75.0;98;448;-1
2017/06/01;01:43:00;1496281380;11.0;46;16;12.0;0;0;23.7;74.6;97;433;-1
2017/06/01;01:58:10;1496282290;12.0;50;17;12.0;93;46;23.3;74.0;98;425;-1
2017/06/01;02:13:20;1496283200;11.0;46;16;11.0;0;0;23.9;75.1;97;435;-1
2017/06/01;02:28:30;1496284110;8.0;33;11;8.0;0;0;23.8;74.8;97;444;-1
2017/06/01;02:43:40;1496285020;9.0;38;13;10.0;0;0;23.9;75.1;96;438;-1
2017/06/01;02:58:50;1496285930;7.0;29;10;7.0;0;0;23.4;74.2;96;424;-1
2017/06/01;03:14:00;1496286840;8.0;33;11;8.0;0;0;24.0;75.3;95;450;-1
2017/06/01;03:29:10;1496287750;8.0;33;11;8.0;0;0;23.6;74.6;96;451;-1
2017/06/01;03:44:16;1496288656;8.0;33;11;8.0;0;0;23.8;74.8;96;452;-1
2017/06/01;03:59:26;1496289566;8.0;33;11;9.0;0;0;23.9;75.0;95;450;-1
2017/06/01;04:14:36;1496290476;11.0;46;16;12.0;0;0;23.4;74.1;98;456;-1
2017/06/01;04:29:46;1496291386;10.0;42;14;10.0;0;0;23.5;74.3;98;455;-1
2017/06/01;04:44:56;1496292296;11.0;46;16;11.0;0;0;23.4;74.1;97;465;-1
2017/06/01;05:00:06;1496293206;7.0;29;10;7.0;0;0;23.2;73.7;98;445;-1
2017/06/01;05:15:16;1496294116;7.0;29;10;7.0;0;0;23.3;73.9;96;456;-1
2017/06/01;05:30:26;1496295026;12.0;50;17;12.0;0;0;23.6;74.5;97;466;-1
2017/06/01;05:45:36;1496295936;13.0;53;19;13.0;0;0;22.9;73.3;100;454;-1
2017/06/01;06:00:46;1496296846;10.0;42;14;11.0;0;0;23.2;73.8;98;477;-1
2017/06/01;06:15:56;1496297756;13.0;53;19;13.0;0;0;23.7;74.6;97;460;-1
2017/06/01;06:30:10;1496298610;13.0;53;19;17.0;0;0;23.1;73.5;99;456;-1
2017/06/01;06:30:20;1496298620;16.0;59;23;17.0;0;0;23.1;73.5;99;456;-1
2017/06/01;06:30:30;1496298630;17.0;61;24;19.0;0;0;23.1;73.6;100;455;-1
2017/06/01;06:30:40;1496298640;16.0;59;23;17.0;0;0;23.1;73.6;100;455;-1
2017/06/01;06:30:50;1496298650;15.0;57;21;16.0;0;0;23.1;73.6;100;455;-1
2017/06/01;06:31:00;1496298660;14.0;55;20;14.0;0;0;23.2;73.8;100;455;-1
2017/06/01;06:31:10;1496298670;14.0;55;20;14.0;0;0;23.2;73.8;100;455;-1
2017/06/01;06:31:20;1496298680;14.0;55;20;14.0;0;0;23.2;73.8;100;456;-1
2017/06/01;06:31:30;1496298690;14.0;55;20;14.0;0;0;23.3;74.0;100;456;-1
2017/06/01;06:31:40;1496298700;15.0;57;21;15.0;0;0;23.3;74.0;100;457;-1
2017/06/01;06:31:50;1496298710;15.0;57;21;16.0;0;0;23.3;74.0;100;456;-1
2017/06/01;06:32:00;1496298720;15.0;57;21;15.0;0;0;23.5;74.3;99;457;-1
2017/06/01;06:32:10;1496298730;14.0;55;20;14.0;0;0;23.5;74.3;99;456;-1
2017/06/01;06:32:20;1496298740;14.0;55;20;14.0;0;0;23.5;74.3;99;456;-1
2017/06/01;06:32:30;1496298750;13.0;53;19;13.0;0;0;23.6;74.5;100;456;-1
2017/06/01;06:32:40;1496298760;13.0;53;19;13.0;0;0;23.6;74.5;100;455;-1
2017/06/01;06:32:50;1496298770;13.0;53;19;13.0;0;0;23.6;74.5;100;456;-1
2017/06/01;06:33:00;1496298780;14.0;55;20;14.0;0;0;23.8;74.8;99;457;-1
2017/06/01;06:33:10;1496298790;14.0;55;20;14.0;0;0;23.8;74.8;99;456;-1
2017/06/01;06:33:20;1496298800;13.0;53;19;13.0;0;0;23.8;74.8;99;456;-1
2017/06/01;06:33:30;1496298810;13.0;53;19;13.0;0;0;23.9;74.9;98;456;-1
2017/06/01;06:33:40;1496298820;13.0;53;19;13.0;0;0;23.9;74.9;98;456;-1
2017/06/01;06:33:50;1496298830;15.0;57;21;15.0;0;0;23.9;74.9;98;455;-1
2017/06/01;06:34:00;1496298840;13.0;53;19;13.0;0;0;23.9;75.0;96;456;-1
2017/06/01;06:34:10;1496298850;13.0;53;19;13.0;0;0;23.9;75.0;96;456;-1
2017/06/01;06:34:20;1496298860;12.0;50;17;12.0;0;0;23.9;75.0;96;456;-1
2017/06/01;06:34:30;1496298870;12.0;50;17;12.0;0;0;23.9;74.9;96;455;-1
2017/06/01;06:34:40;1496298880;12.0;50;17;12.0;0;0;23.9;74.9;96;455;-1
2017/06/01;06:34:50;1496298890;13.0;53;19;13.0;0;0;23.9;74.9;96;455;-1
2017/06/01;06:35:00;1496298900;14.0;55;20;14.0;0;0;23.8;74.9;96;455;-1
2017/06/01;06:35:10;1496298910;13.0;53;19;13.0;0;0;23.8;74.9;96;455;-1
2017/06/01;06:35:20;1496298920;12.0;50;17;12.0;0;0;23.8;74.9;96;455;-1
2017/06/01;06:35:30;1496298930;13.0;53;19;13.0;0;0;23.8;74.8;96;455;-1
2017/06/01;06:35:40;1496298940;14.0;55;20;14.0;0;0;23.8;74.8;96;455;-1
2017/06/01;06:35:50;1496298950;14.0;55;20;14.0;0;0;23.8;74.8;96;455;-1
2017/06/01;06:36:00;1496298960;13.0;53;19;13.0;0;0;23.7;74.7;97;455;-1
2017/06/01;06:36:10;1496298970;12.0;50;17;12.0;0;0;23.7;74.7;97;456;-1
2017/06/01;06:36:20;1496298980;12.0;50;17;12.0;0;0;23.7;74.7;97;456;-1
